# Sparvio 1.5.0 log file. Logging started at 12:01:19.170 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh
12:07:12.319; 100374; 7.064; 19.61; 64.73
12:07:13.319; 100374; 7.065; 19.68; 65.02
12:07:14.319; 100375; 7.028; 19.78; 65.34
12:07:15.319; 100374; 7.047; 19.86; 65.6
12:07:16.319; 100373; 7.044; 19.93; 65.84
12:07:17.303; 100373; 7.069; 20.02; 66.04
12:07:18.302; 100373; 7.067; 20.07; 66.28
12:07:19.303; 100374; 7.055; 20.17; 66.42
12:07:20.302; 100373; 7.064; 20.24; 66.54
12:07:21.302; 100375; 7.052; 20.35; 66.71
12:07:22.302; 100374; 7.052; 20.45; 66.83
12:07:23.302; 100374; 7.037; 20.55; 66.86
12:07:24.302; 100372; 7.053; 20.62; 66.9
12:07:25.302; 100374; 7.07; 20.71; 66.95
12:07:26.303; 100374; 7.096; 20.79; 67.03
12:07:27.302; 100373; 7.046; 20.86; 67.0
12:07:28.302; 100373; 7.104; 20.96; 67.02
12:07:29.302; 100374; 7.065; 21.07; 66.98
12:07:30.303; 100374; 7.008; 21.13; 66.97
12:07:31.302; 100374; 7.059; 21.24; 66.93
12:07:32.302; 100373; 7.049; 21.34; 66.91
12:07:33.302; 100374; 7.068; 21.41; 66.81
12:07:34.302; 100373; 7.04; 21.51; 66.75
12:07:35.302; 100373; 6.998; 21.61; 66.73
12:07:36.302; 100372; 7.04; 21.68; 66.59
12:07:37.302; 100375; 7.056; 21.78; 66.54
12:07:38.302; 100375; 7.1; 21.83; 66.41
12:07:39.302; 100375; 7.03; 21.96; 66.33
12:07:40.303; 100374; 7.09; 22.02; 66.22
12:07:41.302; 100373; 7.1; 22.13; 66.15
12:07:42.302; 100375; 7.059; 22.22; 65.99
12:07:43.302; 100374; 7.016; 22.27; 65.87
12:07:44.302; 100373; 7.034; 22.38; 65.78
12:07:45.302; 100374; 7.026; 22.47; 65.64
12:07:46.302; 100373; 6.985; 22.52; 65.49
12:07:47.302; 100375; 7.022; 22.62; 65.35
12:07:48.335; 100374; 7.089; 22.71; 65.2
12:07:49.335; 100375; 7.07; 22.81; 65.04
12:07:50.335; 100374; 7.075; 22.88; 64.89
12:07:51.335; 100373; 7.039; 22.96; 64.75
12:07:52.335; 100375; 7.036; 23.06; 64.63
12:07:53.335; 100375; 7.042; 23.13; 64.46
12:07:54.335; 100375; 6.989; 23.24; 64.32
12:07:55.335; 100374; 7.041; 23.29; 64.15
12:07:56.335; 100374; 7.09; 23.38; 63.99
12:07:57.335; 100374; 7.052; 23.41; 63.8
12:07:58.335; 100374; 7.105; 23.52; 63.71
12:07:59.335; 100375; 7.061; 23.6; 63.53
12:08:00.335; 100375; 7.05; 23.68; 63.4
12:08:01.336; 100377; 7.053; 23.72; 63.23
12:08:02.335; 100376; 7.051; 23.84; 63.05
12:08:03.335; 100384; 6.998; 23.89; 62.88
12:08:04.335; 100383; 7.105; 23.97; 62.67
12:08:05.335; 100374; 7.009; 24.02; 62.51
12:08:06.335; 100392; 7.016; 24.09; 62.25
12:08:07.335; 100366; 7.037; 24.15; 61.97
12:08:08.335; 100370; 7.011; 24.16; 61.61
12:08:09.335; 100373; 7.03; 24.2; 61.31
12:08:10.336; 100374; 7.034; 24.22; 61.01
12:08:11.335; 100376; 7.053; 24.22; 60.63
12:08:12.335; 100376; 7.046; 24.23; 60.36
12:08:13.335; 100376; 7.045; 24.22; 60.02
12:08:14.335; 100377; 7.089; 24.2; 59.77
12:08:15.335; 100376; 7.036; 24.2; 59.41
12:08:16.335; 100377; 7.053; 24.18; 59.19
12:08:17.335; 100378; 7.064; 24.12; 58.84
12:08:18.335; 100377; 7.034; 24.08; 58.66
12:08:19.356; 100377; 6.998; 24.05; 58.41
12:08:20.356; 100379; 7.016; 23.99; 58.15
12:08:21.357; 100379; 7.052; 23.95; 58.02
12:08:22.356; 100380; 7.058; 23.89; 57.85
12:08:23.356; 100380; 7.024; 23.84; 57.7
12:08:24.356; 100381; 7.047; 23.75; 57.54
12:08:25.356; 100380; 7.032; 23.71; 57.41
12:08:26.356; 100379; 7.052; 23.61; 57.23
12:08:27.356; 100380; 7.063; 23.55; 57.15
12:08:28.356; 100379; 7.035; 23.44; 57.02
12:08:29.356; 100380; 7.046; 23.38; 56.94
12:08:30.356; 100378; 7.038; 23.27; 56.8
12:08:31.356; 100380; 7.042; 23.22; 56.81
12:08:32.356; 100377; 7.074; 23.12; 56.74
12:08:33.357; 100379; 7.081; 23.02; 56.75
12:08:34.356; 100379; 7.003; 22.92; 56.65
12:08:35.356; 100378; 7.018; 22.81; 56.71
12:08:36.356; 100377; 7.087; 22.74; 56.62
12:08:37.356; 100378; 7.03; 22.62; 56.68
12:08:38.356; 100377; 7.046; 22.52; 56.63
12:08:39.356; 100376; 7.076; 22.4; 56.6
12:08:40.356; 100377; 6.997; 22.31; 56.68
12:08:41.356; 100376; 7.058; 22.22; 56.68
12:08:42.356; 100377; 7.003; 22.09; 56.74
12:08:43.356; 100375; 7.014; 21.99; 56.78
12:08:44.356; 100376; 7.032; 21.89; 56.81
12:08:45.356; 100377; 6.998; 21.79; 56.86
12:08:46.356; 100374; 7.036; 21.65; 56.91
12:08:47.356; 100375; 7.057; 21.54; 56.95
12:08:48.356; 100375; 7.009; 21.44; 57.0
12:08:49.337; 100376; 6.995; 21.31; 57.12
12:08:50.336; 100376; 7.03; 21.21; 57.13
12:08:51.336; 100376; 7.001; 21.12; 57.21
12:08:52.336; 100375; 7.053; 21.0; 57.31
12:08:53.336; 100374; 6.996; 20.89; 57.38
12:08:54.336; 100375; 7.056; 20.76; 57.41
12:08:55.336; 100375; 7.006; 20.66; 57.49
12:08:56.336; 100375; 7.025; 20.51; 57.61
12:08:57.336; 100378; 7.031; 20.41; 57.69
12:08:58.336; 100376; 6.998; 20.31; 57.78
12:08:59.336; 100377; 7.061; 20.17; 57.89
12:09:00.336; 100374; 7.016; 20.07; 57.97
12:09:01.336; 100362; 7.058; 19.95; 58.03
12:09:02.336; 100376; 7.033; 19.85; 58.19
12:09:03.336; 100386; 7.049; 19.76; 58.22
12:09:04.336; 100362; 7.041; 19.62; 58.39
12:09:05.336; 100367; 7.013; 19.58; 58.55
12:09:06.336; 100370; 6.996; 19.52; 58.92
12:09:07.336; 100368; 6.974; 19.47; 59.27
12:09:08.336; 100368; 7.021; 19.42; 59.74
12:09:09.336; 100369; 7.02; 19.4; 60.11
12:09:10.336; 100368; 7.05; 19.4; 60.65
12:09:11.336; 100369; 7.025; 19.4; 61.08
12:09:12.336; 100368; 7.005; 19.4; 61.55
12:09:13.336; 100368; 7.032; 19.4; 61.92
12:09:14.336; 100368; 7.012; 19.44; 62.34
12:09:15.336; 100369; 6.991; 19.47; 62.73
12:09:16.336; 100368; 7.03; 19.48; 63.04
12:09:17.337; 100369; 7.04; 19.5; 63.32
12:09:18.336; 100368; 7.04; 19.52; 63.7
12:09:19.336; 100368; 7.003; 19.58; 63.96
12:09:20.390; 100368; 7.019; 19.61; 64.19
12:09:21.390; 100368; 7.026; 19.67; 64.43
12:09:22.390; 100367; 6.985; 19.72; 64.61
12:09:23.390; 100367; 7.036; 19.75; 64.81
12:09:24.391; 100367; 6.985; 19.83; 64.97
12:09:25.390; 100367; 7.025; 19.86; 65.13
12:09:26.390; 100367; 7.019; 19.89; 65.22
12:09:27.390; 100367; 7.006; 19.95; 65.34
12:09:28.390; 100367; 7.041; 19.99; 65.4
12:09:29.390; 100366; 7.025; 20.06; 65.51
12:09:30.390; 100366; 7.004; 20.1; 65.55
12:09:31.390; 100365; 7.026; 20.16; 65.59
12:09:32.390; 100365; 6.988; 20.24; 65.67
12:09:33.391; 100365; 7.002; 20.28; 65.7
12:09:34.390; 100366; 7.021; 20.35; 65.68
12:09:35.390; 100366; 7.016; 20.42; 65.71
12:09:36.390; 100366; 6.992; 20.47; 65.67
