# Sparvio 1.5.0 log file. Logging started at 12:51:02.973 UTC.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Time (UTC); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; SKH1_70727633.lat; SKH1_70727633.lon; SKH1_70727633.alt; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
12:51:32.077; ; ; ; ; ; ; ; 0.14; 304; 0.09; -0.06; -0.1; 25.36; 59.8; 100423; 20.7; -16.6; 0
12:51:32.276; 100249; 7.344; 31.05; 31.0; 45.51038; 9.211933; 176.6; 0.68; 352; 0.1; -0.68; -0.01; 25.1; 60.7; 100422; 20.2; -17.3; 0
12:51:32.476; ; ; ; ; ; ; ; 0.75; 13; -0.16; -0.73; 0.03; 25.88; 57.8; 100421; 8.8; -21.2; 0
12:51:32.676; ; ; ; ; ; ; ; 0.61; 58; -0.51; -0.32; 0.1; 25.82; 58.0; 100421; 9.0; -23.1; 0
12:51:32.876; ; ; ; ; ; ; ; 1.0; 30; -0.48; -0.84; 0.26; 25.36; 59.6; 100421; 2.0; -17.4; 0
12:51:33.077; ; ; ; ; ; ; ; 1.53; 42; -1.02; -1.14; 0.1; 24.79; 61.7; 100420; 0.1; -13.4; 0
12:51:33.286; 100249; 7.347; 31.01; 31.43; 45.510398; 9.211925; 175.1; 1.13; 57; -0.94; -0.61; 0.16; 24.74; 61.9; 100420; 0.0; -14.0; 0
12:51:33.486; ; ; ; ; ; ; ; 0.84; 49; -0.63; -0.55; 0.01; 24.56; 62.5; 100420; 0.6; -14.8; 0
12:51:33.687; ; ; ; ; ; ; ; 0.8; 62; -0.71; -0.38; -0.02; 24.44; 62.9; 100421; 2.6; -16.1; 0
12:51:33.886; ; ; ; ; ; ; ; 0.58; 102; -0.56; 0.12; 0.12; 24.64; 62.1; 100421; 1.8; -16.2; 0
12:51:34.087; ; ; ; ; ; ; ; 0.9; 7; -0.1; -0.84; -0.3; 24.29; 63.5; 100420; 0.9; -15.2; 0
12:51:34.286; 100248; 7.338; 30.87; 31.62; 45.51042; 9.211928; 177.7; 1.14; 10; -0.2; -1.11; -0.16; 23.92; 64.8; 100421; 2.2; -15.1; 0
12:51:34.486; ; ; ; ; ; ; ; 1.23; 17; -0.36; -1.17; -0.09; 23.56; 66.2; 100422; 3.1; -14.5; 0
12:51:34.685; ; ; ; ; ; ; ; 1.33; 7; -0.15; -1.31; -0.17; 23.54; 66.3; 100420; 1.7; -14.4; 0
12:51:34.885; ; ; ; ; ; ; ; 1.43; 5; -0.12; -1.41; -0.2; 23.56; 66.2; 100419; 1.8; -14.0; 0
12:51:35.089; ; ; ; ; ; ; ; 1.31; 2; -0.04; -1.3; -0.17; 23.49; 66.4; 100420; 3.7; -14.5; 0
12:51:35.286; 100246; 7.348; 30.73; 31.74; 45.510403; 9.211938; 180.9; 1.84; 1; -0.04; -1.84; -0.13; 23.21; 67.7; 100420; 7.2; -16.7; 0
12:51:35.485; ; ; ; ; ; ; ; 1.22; 304; 1.0; -0.67; 0.22; 23.14; 67.8; 100421; 5.3; -17.2; 0
12:51:35.687; ; ; ; ; ; ; ; 1.3; 290; 1.21; -0.43; 0.16; 23.25; 67.6; 100420; 3.4; -16.4; 0
12:51:35.886; ; ; ; ; ; ; ; 1.03; 292; 0.89; -0.36; 0.37; 23.43; 66.8; 100420; 5.4; -17.5; 0
12:51:36.085; ; ; ; ; ; ; ; 1.08; 292; 0.94; -0.39; 0.35; 23.49; 66.6; 100420; 5.9; -17.7; 0
12:51:36.285; 100247; 7.308; 30.53; 31.93; 45.510418; 9.21196; 174.1; 1.36; 303; 1.12; -0.73; 0.2; 23.4; 66.8; 100419; 4.7; -17.3; 0
