# Sparvio 1.5.0 log file. Unknown start time.
# Logged components:
# SKH1_70727633 (id=1): 
#   Serial number; 1886549555
#   App and version; 3; 3.008
# C (id=3): 
#   Serial number; 1851030050
#   App and version; 18; 2.007

Relative time (sec); SKH1_70727633.pr; SKH1_70727633.bat; SKH1_70727633.temp; SKH1_70727633.rh; C.wspd; C.wdir; C.windU; C.windV; C.windW; C.temp; C.rh; C.pr; C.pitch; C.roll; C.heading
15.323; 100197; 8.19; 22.03; 60.06; 0.08; 31; -0.01; -0.01; -0.08; 20.88; 63.5; 100373; 4.2; -1.6; 0
15.526; ; ; ; ; 0.08; 326; 0.02; -0.03; -0.08; 20.82; 63.8; 100374; 4.1; -1.3; 0
15.723; ; ; ; ; 0.09; 166; 0.0; 0.01; -0.09; 20.71; 64.2; 100374; 4.4; -1.3; 0
15.923; ; ; ; ; 0.12; 203; 0.02; 0.05; -0.1; 20.63; 64.6; 100374; 3.8; -1.8; 0
16.123; ; ; ; ; 0.08; 285; 0.04; -0.01; -0.07; 20.6; 64.7; 100373; 4.4; -0.7; 0
16.323; 100196; 8.183; 22.03; 59.99; 0.11; 89; -0.03; 0.0; -0.11; 20.6; 64.7; 100374; 4.1; -0.2; 0
16.524; ; ; ; ; 0.1; 52; -0.03; -0.02; -0.09; 20.61; 64.6; 100374; 3.4; -0.6; 0
16.723; ; ; ; ; 0.08; 33; -0.02; -0.03; -0.07; 20.62; 64.6; 100373; 3.9; -1.6; 0
16.923; ; ; ; ; 0.08; 312; 0.01; -0.01; -0.08; 20.62; 64.5; 100374; 3.1; -1.7; 0
17.123; ; ; ; ; 0.09; 223; 0.02; 0.02; -0.09; 20.69; 64.5; 100373; 3.7; -1.1; 0
17.325; 100196; 8.203; 22.06; 59.91; 0.11; 179; 0.0; 0.06; -0.09; 20.85; 63.8; 100373; 3.5; -1.3; 0
17.526; ; ; ; ; 0.08; 213; 0.02; 0.02; -0.07; 21.03; 63.1; 100374; 3.9; -1.2; 0
17.723; ; ; ; ; 0.1; 216; 0.03; 0.04; -0.08; 20.83; 63.9; 100374; 3.9; -1.5; 0
17.923; ; ; ; ; 0.09; 265; 0.02; 0.0; -0.09; 20.68; 64.4; 100373; 4.1; -1.4; 0
18.123; ; ; ; ; 0.08; 259; 0.02; 0.0; -0.07; 20.65; 64.5; 100372; 4.0; -1.4; 0
18.323; 100195; 8.209; 22.06; 59.94; 0.08; 186; 0.0; 0.02; -0.07; 20.62; 64.7; 100373; 3.6; -1.0; 0
18.523; ; ; ; ; 0.1; 226; 0.0; 0.0; -0.1; 20.62; 64.7; 100372; 4.3; -1.4; 0
18.723; ; ; ; ; 0.08; 162; 0.0; 0.01; -0.08; 20.61; 64.8; 100373; 3.4; -1.4; 0
18.923; ; ; ; ; 0.08; 240; 0.02; 0.01; -0.08; 20.62; 64.6; 100372; 4.3; -1.6; 0
19.123; ; ; ; ; 0.08; 211; 0.02; 0.03; -0.07; 20.61; 64.8; 100373; 3.7; -1.6; 0
19.323; 100194; 8.193; 22.06; 59.89; 0.07; 182; 0.0; 0.03; -0.06; 20.62; 64.7; 100374; 4.0; -0.9; 0
19.526; ; ; ; ; 0.07; 240; 0.04; 0.02; -0.05; 20.64; 64.7; 100372; 5.1; -1.2; 0
19.723; ; ; ; ; 0.09; 233; 0.04; 0.03; -0.07; 20.65; 64.6; 100373; 3.9; -1.8; 0
19.923; ; ; ; ; 0.1; 219; 0.02; 0.03; -0.1; 20.64; 64.7; 100372; 4.4; -1.1; 0
20.123; ; ; ; ; 0.15; 207; 0.05; 0.09; -0.11; 20.64; 64.7; 100372; 4.1; -1.4; 0
20.323; 100197; 8.193; 22.04; 59.9; 0.08; 336; 0.01; -0.02; -0.08; 20.63; 64.8; 100374; 4.1; -1.3; 0
